ds,Open,Volume,Close,Close_Lag1,MA7
2021-08-06,4258.461090019133,28.762190874296543,4258.733326803517,4253.978532454885,4254.132178181486
2021-08-09,4266.918972832376,28.060063415627077,4260.85754794637,4258.733326803517,4256.231745226504
2021-08-10,4265.502911852523,31.037492823904486,4258.220640515165,4260.85754794637,4257.196952312014
2021-08-11,4264.734265484624,24.646134554007876,4258.15362343052,4258.220640515165,4257.419269008838
2021-08-12,4262.025729256101,28.228044790172703,4253.942873080882,4258.15362343052,4257.224611772012
2021-08-13,4260.253405088855,27.094952902496786,4257.185136763942,4253.942873080882,4257.295954427897
2021-08-16,4263.521276434912,24.803428210062265,4255.178218714142,4257.185136763942,4257.46733817922
2021-08-17,4260.569587947396,27.42466911046644,4251.43913550897,4255.178218714142,4256.425310851427
2021-08-18,4258.44064474792,20.77474086587583,4250.465503972187,4251.43913550897,4254.94073314083
2021-08-20,4251.911382982182,23.006962728288645,4248.365567675168,4250.465503972187,4253.5328655922585
2021-08-23,4254.125353605292,21.101642207674544,4246.5189248352335,4248.365567675168,4251.870765792932
2021-08-24,4251.388130415475,24.01344625233184,4243.312018231709,4246.5189248352335,4250.352072243049
2021-08-25,4249.740940262223,17.71733776263376,4243.079612306783,4243.312018231709,4248.336997320599
2021-08-26,4246.612166151768,21.544984618867723,4239.104596946214,4243.079612306783,4246.040765639466
2021-08-27,4244.878262408464,20.793979716126106,4242.96673687766,4239.104596946214,4244.8304229778505
2021-08-30,4250.7914356070505,20.279330931024408,4244.765734065964,4242.96673687766,4244.016170134105
2021-08-31,4249.421585998261,23.629296857223437,4242.76978882153,4244.765734065964,4243.2167731550135
2021-09-01,4249.123104477349,17.73609694395331,4243.667715787975,4242.76978882153,4242.809457576834
2021-09-02,4247.272318606284,21.91973025171824,4240.697377011013,4243.667715787975,4242.435937402449
2021-09-03,4246.695540947684,21.467832740375272,4245.396916582217,4240.697377011013,4242.766980870368
2021-09-06,4254.914901385413,21.440537771121676,4248.366579895672,4245.396916582217,4244.090121291719
2021-09-07,4253.8088812380665,24.80483343577723,4246.234836367461,4248.366579895672,4244.5569926474045
2021-09-08,4253.482659962785,18.85213600283145,4246.714362209273,4246.234836367461,4244.835368096448
2021-09-09,4251.3023853406385,22.906116101635696,4243.044294466934,4246.714362209273,4244.874583188649
2021-09-13,4254.743183086698,21.352268990663717,4245.436549652945,4243.044294466934,4245.127273740787
2021-09-14,4251.981752560244,24.359700038479282,4241.52190167866,4245.436549652945,4245.245062979023
2021-09-15,4249.834552878328,18.03912839472523,4240.120025667369,4241.52190167866,4244.491221419759
2021-09-16,4245.718374986916,21.72728565814363,4234.522884462839,4240.120025667369,4242.51355064364
2021-09-17,4242.514699136225,20.730623629700936,4236.334932650047,4234.522884462839,4241.09927868401
2021-09-20,4241.42553877231,18.97984556834165,4229.887782402256,4236.334932650047,4238.695481568721
2021-09-21,4237.037193841697,21.810332383464523,4224.669641926079,4229.887782402256,4236.070531205742
2021-09-22,4233.503542739159,15.377862797519994,4222.24965079314,4224.669641926079,4232.7581170829135
2021-09-23,4228.293793772869,19.024096174345882,4215.9630774123725,4222.24965079314,4229.106856473443
2021-09-24,4224.335658457843,18.05824069753886,4217.450627274144,4215.9630774123725,4225.868370988696
2021-09-27,4223.360899896461,16.83003320231389,4212.455776074037,4217.450627274144,4222.715926933153
2021-09-28,4219.871120946677,19.964976878368855,4208.5622032598785,4212.455776074037,4218.74839416313
2021-09-29,4217.674666622973,13.890440416931519,4207.878288109363,4208.5622032598785,4215.604180692716
2021-09-30,4214.229906403688,17.93845387225193,4203.719250415971,4207.878288109363,4212.611267619844
2021-10-01,4212.443255396241,17.40722171069851,4207.696342169953,4203.719250415971,4210.532223530818
